Break,Index,Date,Regime length (before),Regime length (after),Mean before,Mean after,Shift,Std before,Std after,Nearest event,Gap (days)
1,100,2007-12-19,100,313,0.0678999997489145,23.633003186113157,23.565103186364244,0.024091366704230077,2.2403405613409983,"End of EU ETS Phase I: surplus allowances, no banking, price to ~EUR 0",12.0
2,413,2008-10-27,313,1099,23.633003186113157,13.992647875646117,-9.64035531046704,2.2403405613409983,1.761245805206133,"Global financial crisis: industrial output collapses, EUR 20 -> EUR 8",42.0
3,1512,2011-10-31,1099,2319,13.992647875646117,6.336925396172843,-7.655722479473274,1.761245805206133,1.4920471097491859,,
4,3831,2018-03-07,2319,167,6.336925396172843,16.100000061674745,9.763074665501902,1.4920471097491859,2.336771395805889,,
5,3998,2018-08-21,167,855,16.100000061674745,25.30574266757184,9.205742605897097,2.336771395805889,2.8895740857518053,,
6,4853,2020-12-23,855,126,25.30574266757184,38.93849203321669,13.632749365644848,2.8895740857518053,4.58935070463096,,
7,4979,2021-04-28,126,210,38.93849203321669,57.072333399454756,18.133841366238066,4.58935070463096,4.720120865853687,,
8,5189,2021-11-24,210,285,57.072333399454756,83.18638609501353,26.114052695558776,4.720120865853687,6.113437499206263,,
9,5474,2022-09-05,285,85,83.18638609501353,71.86482328527114,-11.321562809742389,6.113437499206263,4.595714497516449,,
10,5559,2022-11-29,85,353,71.86482328527114,86.2159491476864,14.351125862415259,4.595714497516449,5.090302954245818,,
11,5912,2023-11-17,353,201,86.2159491476864,66.79825848252025,-19.41769066516615,5.090302954245818,6.956773943142767,"Mild winter, weak power demand, ample renewables, EUR 84 -> EUR 52",45.0
