,MAE,MAE,MAE,RMSE,RMSE,RMSE,MAPE (%),MAPE (%),MAPE (%),R2,R2,R2
,Paper,Replication,Diff,Paper,Replication,Diff,Paper,Replication,Diff,Paper,Replication,Diff
Model,,,,,,,,,,,,
BP&ICSS-WT-LSTM,4.6345,0.921,-3.7135,5.3878,1.2847,-4.1031,5.8731,1.2583,-4.6148,0.8712,0.9928,0.1216
PELT-WT-LSTM (uni),2.3627,1.0078,-1.3549,2.7488,1.3459,-1.4029,3.0582,1.4313,-1.6269,0.9664,0.992,0.0256
PELT-WT-LSTM (multi),1.8192,0.893,-0.9262,2.2967,1.2615,-1.0352,2.3267,1.2292,-1.0975,0.9765,0.993,0.0165
PELT-WT-GRU,1.3308,0.8484,-0.4824,1.6987,1.2361,-0.4626,1.7401,1.1611,-0.579,0.9872,0.9933,0.0061
PELT-WT-TCN,1.1855,1.6752,0.4897,1.5866,2.1012,0.5146,1.6451,2.2983,0.6532,0.9888,0.9806,-0.0082
Random walk,,0.8457,,,1.223,,,1.1571,,,0.9934,
