Model,MAE,RMSE,MAPE (%),R2,Theil U,Train (s)
PELT-WT-LSTM (multi),1.0528,1.7215,1.4475,0.987,0.9997,93.6479
Random walk,1.0416,1.7217,1.43,0.987,1.0,0.0
PELT-WT-LSTM (uni),1.0433,1.7221,1.4338,0.987,1.0001,148.8944
BP&ICSS-WT-LSTM,1.0611,1.7253,1.4584,0.987,1.002,181.0065
PELT-WT-GRU,1.0649,1.7269,1.4637,0.9869,1.0029,50.7116
PELT-WT-TCN,1.6246,2.2677,2.2641,0.9775,1.3171,187.8623
