,MAE,MAE,MAE,RMSE,RMSE,RMSE,MAPE (%),MAPE (%),MAPE (%),R2,R2,R2
,Paper,Replication,Diff,Paper,Replication,Diff,Paper,Replication,Diff,Paper,Replication,Diff
Model,,,,,,,,,,,,
BP&ICSS-WT-LSTM,4.6345,46.1373,41.5028,5.3878,48.8677,43.4799,5.8731,60.7702,54.8971,0.8712,-9.489,-10.3602
PELT-WT-LSTM (uni),2.3627,41.8157,39.453,2.7488,43.3046,40.5558,3.0582,56.3112,53.253,0.9664,-7.2368,-8.2032
PELT-WT-LSTM (multi),1.8192,35.074,33.2548,2.2967,38.2507,35.954,2.3267,45.4343,43.1076,0.9765,-5.4264,-6.4029
PELT-WT-GRU,1.3308,52.5412,51.2104,1.6987,55.1775,53.4788,1.7401,69.8184,68.0783,0.9872,-12.3725,-13.3597
PELT-WT-TCN,1.1855,36.1196,34.9341,1.5866,37.2711,35.6845,1.6451,49.5368,47.8917,0.9888,-5.1015,-6.0903
Random walk,,0.8457,,,1.223,,,1.1571,,,0.9934,
