Model,MAE,RMSE,MAPE (%),R2,Theil U,Train (s)
Random walk,0.8457,1.223,1.1571,0.9934,1.0,0.0
PELT-WT-TCN,36.1196,37.2711,49.5368,-5.1015,30.4729,37.1
PELT-WT-LSTM (multi),35.074,38.2507,45.4343,-5.4264,31.2767,41.4
PELT-WT-LSTM (uni),41.8157,43.3046,56.3112,-7.2368,35.408,178.8
BP&ICSS-WT-LSTM,46.1373,48.8677,60.7702,-9.489,39.9579,38.3
PELT-WT-GRU,52.5412,55.1775,69.8184,-12.3725,45.1166,55.4
