TIME_PERIOD,value
2007-09-10,4.173340559247622
2007-09-11,4.158806097300902
2007-09-12,4.18461469574853
2007-09-13,4.21404785354093
2007-09-14,4.186225453091355
2007-09-17,4.211089485364953
2007-09-18,4.243021809001747
2007-09-19,4.302051987663358
2007-09-20,4.366145780943846
2007-09-21,4.384847005356034
2007-09-24,4.386534588190049
2007-09-25,4.345966081098388
2007-09-26,4.423110591192683
2007-09-27,4.419476365027596
2007-09-28,4.378139363812401
2007-10-01,4.3755852903315136
2007-10-02,4.359603129854276
2007-10-03,4.32065734701634
2007-10-04,4.322052768687925
2007-10-05,4.365136793371556
2007-10-08,4.367744051664355
2007-10-09,4.336698935255968
2007-10-10,4.3773106957845895
2007-10-11,4.408369622159267
2007-10-12,4.421618080806328
2007-10-15,4.442889028771482
2007-10-16,4.450699877931483
2007-10-17,4.434419300303728
2007-10-18,4.3556701595622185
2007-10-19,4.307339709461966
2007-10-22,4.238875658961341
2007-10-23,4.249180604638119
2007-10-24,4.214710642310836
2007-10-25,4.202829056539718
2007-10-26,4.22823885159992
2007-10-29,4.218399977101459
2007-10-30,4.249214273645809
2007-10-31,4.288441367448606
2007-11-01,4.2652670662277545
2007-11-02,4.22045887119455
2007-11-05,4.2126997132273925
2007-11-06,4.252619788710471
2007-11-07,4.208520426663753
2007-11-08,4.201487034805708
2007-11-09,4.164135350352363
2007-11-12,4.158804783279581
2007-11-13,4.1649822851261815
2007-11-14,4.208095224548391
2007-11-15,4.185268061448045
2007-11-16,4.171728980829776
2007-11-19,4.156449120073352
2007-11-20,4.150833284604337
2007-11-21,4.130824964080107
2007-11-22,4.146250828870104
2007-11-23,4.153177870619447
2007-11-26,4.14797861668879
2007-11-27,4.123070418975794
2007-11-28,4.205754844563847
2007-11-29,4.1896189486546085
2007-11-30,4.214501049173749
2007-12-03,4.18963102953343
2007-12-04,4.132013458799904
2007-12-05,4.150421892108019
2007-12-06,4.187971381659714
2007-12-07,4.268699413906926
2007-12-10,4.311828716890053
2007-12-11,4.314165096505941
2007-12-12,4.366700593837618
2007-12-13,4.35850456734396
2007-12-14,4.340176398241527
2007-12-17,4.3448850051060575
2007-12-18,4.356193614857628
2007-12-19,4.334659470947237
2007-12-20,4.334048163608757
2007-12-21,4.346494301011883
2007-12-24,4.345980402244754
2007-12-27,4.391645655991502
2007-12-28,4.36873375718141
